,ACC,Author,Year,Page.number,Parameter,Hard.Soft.Coral,Order,Hard.Soft.Coral.Order,Family,fam.comm,Genus,Species,Method,Method.simple,Lab.field,Time.series,Month.Before,Month.During.After,Year.Before,Year.During.After,Day.Sampled,Month.Sampled,Year.Sampled,Date.Sampled,Date.Sampled.Type,El.Nino,El.Nino.simple,La.Nina,La.Nina.simple,Measured.Before,Measured.During,Measured.After.0.6months,Measured.Duringto6mo,Measured.After.6months.2years,Depth,Latitude,Longitude,Lat.dec,Lat.abs,Long.dec,Ocean,Region,Ocean.Region,Ocean.Region.simple,Location,Source,Graphclick,Units.original,Mean_Cover_Before,SE_Cover_Before,SD_Cover_Before,Mean_Cover_Resp,SE_Cover_Resp,SD_Cover_Resp,Mean_Bleaching_Before,SE_Bleaching_Before,SD_Bleaching_Before,Mean_Bleaching_Resp,SE_Bleaching_Resp,SD_Bleaching_Resp,N_Before,N_During.After,In_Baker_2008,Comments,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18
1,4,Smith et al.,2014,1,Cover,Hard,Anthoathecata,Hard.Anthoathecata,Milleporidae,family,Millepora,intricata,Visual estimate-chain transects,Visual,Field,Y,NA,NA,1981,1983,18,Mar,1983,18-Mar-83,exact,82/83,1983,,NA,Y,Y,,Y,,2-5 m,8N,82W,8,8,-82,Pacific,Eastern,Pacific.Eastern,Pacific.Eastern,"Uva & Secas Islands, Gulf of Chirique, Republic of Panama",Figure 2.b,Y,% cover,0.147,0.103,0.461,0.091,0.057,0.254911749,NA,,NA,NA,NA,NA,20,20,No,"Date from : Tyler B. Smith, Peter W. Glynn, Juan L. Mat_, Lauren T. Toth, and Joanna Gyory. 2014. A depth refugium from catastrophic coral bleaching prevents regional extinction. Ecology 95:1663_1673. http://dx.doi.org.ezproxy.library.uvic.ca/10.1890/13-0468.1 SUPPLEMENT",4.1901,5.401,-32,4.1901,0,NA,28.594,0.73204,0.8556,29.283,4
2,4,Smith et al.,2014,3,Cover,Hard,Anthoathecata,Hard.Anthoathecata,Milleporidae,family,Millepora,intricata,Visual estimate-chain transects,Visual,Field,Y,NA,NA,1981,1984,25,Jan,1985,25-Jan-85,exact,82/83,1983,,NA,Y,,,,Y,2-5 m,8N,82W,8,8,-82,Pacific,Eastern,Pacific.Eastern,Pacific.Eastern,"Uva & Secas Islands, Gulf of Chirique, Republic of Panama",Figure 2.b,Y,% cover,0.147,0.103,0.461,0,0,0,NA,,NA,NA,NA,NA,20,20,No,"Date from : Tyler B. Smith, Peter W. Glynn, Juan L. Mat_, Lauren T. Toth, and Joanna Gyory. 2014. A depth refugium from catastrophic coral bleaching prevents regional extinction. Ecology 95:1663_1673. http://dx.doi.org.ezproxy.library.uvic.ca/10.1890/13-0468.1 SUPPLEMENT",0,5.401,647,5.401,647,NA,28.594,0.73204,0.8556,29.283,4
3,4,Smith et al.,2014,4,Cover,Hard,Anthoathecata,Hard.Anthoathecata,Milleporidae,family,Millepora,platyphylla,Visual estimate-chain transects,Visual,Field,Y,NA,NA,1981,1983,18,Mar,1983,18-Mar-83,exact,82/83,1983,,NA,Y,Y,,Y,,2-5 m,8N,82W,8,8,-82,Pacific,Eastern,Pacific.Eastern,Pacific.Eastern,"Uva & Secas Islands, Gulf of Chirique, Republic of Panama",Figure 2.b,Y,% cover,0.727,0.722,3.229,0.219,0.155,0.693181073,NA,,NA,NA,NA,NA,20,20,No,"Date from : Tyler B. Smith, Peter W. Glynn, Juan L. Mat_, Lauren T. Toth, and Joanna Gyory. 2014. A depth refugium from catastrophic coral bleaching prevents regional extinction. Ecology 95:1663_1673. http://dx.doi.org.ezproxy.library.uvic.ca/10.1890/13-0468.1 SUPPLEMENT",4.1901,5.401,-32,4.1901,0,NA,28.594,0.73204,0.8556,29.283,4
4,4,Smith et al.,2014,6,Cover,Hard,Anthoathecata,Hard.Anthoathecata,Milleporidae,family,Millepora,platyphylla,Visual estimate-chain transects,Visual,Field,Y,NA,NA,1981,1984,25,Jan,1985,25-Jan-85,exact,82/83,1983,,NA,Y,,,,Y,2-5 m,8N,82W,8,8,-82,Pacific,Eastern,Pacific.Eastern,Pacific.Eastern,"Uva & Secas Islands, Gulf of Chirique, Republic of Panama",Figure 2.b,Y,% cover,0.727,0.722,3.229,0,0,0,NA,,NA,NA,NA,NA,20,20,No,"Date from : Tyler B. Smith, Peter W. Glynn, Juan L. Mat_, Lauren T. Toth, and Joanna Gyory. 2014. A depth refugium from catastrophic coral bleaching prevents regional extinction. Ecology 95:1663_1673. http://dx.doi.org.ezproxy.library.uvic.ca/10.1890/13-0468.1 SUPPLEMENT",0,5.401,647,5.401,647,NA,28.594,0.73204,0.8556,29.283,4
5,25,Kelmo and Atrill,2013,17,Bleaching,Hard,Scleractinia,Hard.Scleractinia,Agariciidae,family,Agaricia,agaricites,Visual estimates (1 m quadrats),Visual,Field,Y,April/May,April/May,1997,1998,1,May,1998,01-May-98,estimated,97/98,1998,,NA,Y,Y,,Y,,10-20 m,12.636S,38.046W,-12.636,12.636,-38.046,Atlantic,Western,Atlantic.Western,Atlantic.Western,"Bahia, Brazil",Figure 2.a,Y,% bleached,NA,,NA,NA,,NA,30.533,0,0,44.307,0,0,140,140,No,"Date from : in-text ""were collected annually (between April and May) from 1995 to 2011"", estimated to May 1st",2.3745,2.553,-1,2.3745,0,NA,26.946,1.4519,1.205,28.51,3
6,25,Kelmo and Atrill,2013,18,Bleaching,Hard,Scleractinia,Hard.Scleractinia,Agariciidae,family,Agaricia,agaricites,Visual estimates (1 m quadrats),Visual,Field,Y,April/May,April/May,1997,1999,1,May,1999,01-May-99,estimated,97/98,1998,,NA,Y,,,,Y,10-20 m,12.636S,38.046W,-12.636,12.636,-38.046,Atlantic,Western,Atlantic.Western,Atlantic.Western,"Bahia, Brazil",Figure 2.a,Y,% bleached,NA,,NA,NA,,NA,30.533,0,0,44.685,0,0,140,140,No,"Date from : in-text ""were collected annually (between April and May) from 1995 to 2011"", estimated to May 1st",0.38574,2.553,364,2.553,364,NA,26.946,1.4519,1.205,28.51,3
7,25,Kelmo and Atrill,2013,19,Bleaching,Hard,Scleractinia,Hard.Scleractinia,Siderastreidae,family,Siderastrea,stellata,Visual estimates (1 m quadrats),Visual,Field,Y,April/May,April/May,1997,1998,1,May,1998,01-May-98,estimated,97/98,1998,,NA,Y,Y,,Y,,10-20 m,12.636S,38.046W,-12.636,12.636,-38.046,Atlantic,Western,Atlantic.Western,Atlantic.Western,"Bahia, Brazil",Figure 2.b,Y,% bleached,NA,,NA,NA,,NA,8.163,0.699,8.271,17.058,0.522,6.176,140,140,No,"Date from : in-text ""were collected annually (between April and May) from 1995 to 2011"", estimated to May 1st",2.3745,2.553,-1,2.3745,0,NA,26.946,1.4519,1.205,28.51,3
8,25,Kelmo and Atrill,2013,20,Bleaching,Hard,Scleractinia,Hard.Scleractinia,Siderastreidae,family,Siderastrea,stellata,Visual estimates (1 m quadrats),Visual,Field,Y,April/May,April/May,1997,1999,1,May,1999,01-May-99,estimated,97/98,1998,,NA,Y,,,,Y,10-20 m,12.636S,38.046W,-12.636,12.636,-38.046,Atlantic,Western,Atlantic.Western,Atlantic.Western,"Bahia, Brazil",Figure 2.b,Y,% bleached,NA,,NA,NA,,NA,8.163,0.699,8.271,14.954,0.563,6.662,140,140,No,"Date from : in-text ""were collected annually (between April and May) from 1995 to 2011"", estimated to May 1st",0.38574,2.553,364,2.553,364,NA,26.946,1.4519,1.205,28.51,3
9,25,Kelmo and Atrill,2013,21,Bleaching,Hard,Scleractinia,Hard.Scleractinia,Poritidae,family,Porites,astreoides,Visual estimates (1 m quadrats),Visual,Field,Y,April/May,April/May,1997,1998,1,May,1998,01-May-98,estimated,97/98,1998,,NA,Y,Y,,Y,,10-20 m,12.636S,38.046W,-12.636,12.636,-38.046,Atlantic,Western,Atlantic.Western,Atlantic.Western,"Bahia, Brazil",Figure 2.c,Y,% bleached,NA,,NA,NA,,NA,23.009,0,0,44.827,0,0,140,140,No,"Date from : in-text ""were collected annually (between April and May) from 1995 to 2011"", estimated to May 1st",2.3745,2.553,-1,2.3745,0,NA,26.946,1.4519,1.205,28.51,3
10,25,Kelmo and Atrill,2013,22,Bleaching,Hard,Scleractinia,Hard.Scleractinia,Poritidae,family,Porites,astreoides,Visual estimates (1 m quadrats),Visual,Field,Y,April/May,April/May,1997,1999,1,May,1999,01-May-99,estimated,97/98,1998,,NA,Y,,,,Y,10-20 m,12.636S,38.046W,-12.636,12.636,-38.046,Atlantic,Western,Atlantic.Western,Atlantic.Western,"Bahia, Brazil",Figure 2.c,Y,% bleached,NA,,NA,NA,,NA,23.009,0,0,46.296,0,0,140,140,No,"Date from : in-text ""were collected annually (between April and May) from 1995 to 2011"", estimated to May 1st",0.38574,2.553,364,2.553,364,NA,26.946,1.4519,1.205,28.51,3
